('AP095', 'Padamaran', 'KZGMI-2001', 67.6, 171, 3.9, 8.9, 18.8, NULL),  
('AP096', 'Pastel', 'KZGMS-1993', 38.3, 307, 4.5, 13.3, 42.4, NULL),  
('AP097', 'Pulut', 'KZGMI-2001', 49.1, 216, 2.6, 3.1, 44.4, NULL),
('AP099', 'Putri hijau', 'KGZMI-2001', 54.8, 189, 5.4, 2.1, 37.2, NULL),  
('AP100', 'Putri selat', 'KZGMI-2001', 66.6, 163, 2.2, 6.5, 23.8, NULL),  
('AP101', 'Putu sopa', 'KZGMI-2001', 50.7, 215, 3.3, 4.1, 41.1, NULL),  
('AP102', 'Renggi goreng', 'KZGMI-2001', 8.8, 471, 4.7, 21.8, 64.1, 6.4),  
('AP103', 'Roti boong', 'KZGMI-2001', 34.0, 341, 5.5, 16.2, 43.3, NULL),  
('AP104', 'Roti warna sawo', 'DABM-1964', 40.0, 249, 7.9, 1.5, 49.7, NULL),  
('AP105', 'Sarimuka', 'KZGMI-2001', 61.5, 166, 2.3, 2.8, 32.9, NULL),  
('AP106', 'Spaghetti', 'KZGMS-1993', 66.1, 139, 7.4, 2.1, 22.6, NULL),  
('AP107', 'Srikaya ketan', 'KZGMI-2001', 41.0, 265, 2.7, 6.4, 49.1, NULL),  
('AP108', 'Sunduk lawang', 'KZGMI-2001', 63.4, 181, 1.9, 1.3, 32.4, NULL),  
('AP109', 'Suwir-suwir', 'KZGPI-1990', 13.4, 347, 0.5, 0.9, 84.2, 0.8),  
('AP110', 'Tipa-tipa', 'KZGPI-1990', 11.3, 355, 6.2, 1.2, 79.8, 1.3),  
('AP111', 'Wajit camilan', 'KZGPI-1990', 27.1, 303, 6.3, 2.7, 63.3, 6.9),  
('AP112', 'Widaran', 'KZGPI-1990', 7.0, 424, 1.3, 10.7, 80.7, 0.2),  
('AP113', 'Wingko babat', 'KZGPI-1990', 29.7, 355, 3.2, 15.1, 51.4, 2.4),  
('AP114', 'Yangko', 'KZGPI-1990', 37.4, 254, 3.0, 1.1, 58.1, 0.8),
('BR001', 'Arrowroot *segar', 'KZGPI-1990', 73.5, 102, 1.0, 0.2, 24.1, 1.7),  
('BR002', 'Batatas gembili *segar', 'KZGMI-2001', 76.7, 76, 1.1, 0.9, 16.0, 4.2),  
('BR003', 'Batatas kelapa *ubi *segar', 'KZGMI-2001', 76.1, 89, 1.1, 0.1, 21.0,4.0),  
('BR004', 'Belitung *talas *segar', 'KZGPI-1990', 63.1, 145, 1.2, 0.4, 34.2,1.5),  
('BR005', 'Bengkuang *segar', 'DABM-1964', 85.1, 59, 1.4, 0.2, 12.8,1.0),  
('BR006', 'Bentul (Komba) *talas *segar', 'KZGPI-1990', 75.8, 98, 1.6, 0.7, 20.9,0.7),  
('BR007', 'Gadeng/Gadung *kering', 'KZGMI-2001', 20.2, 322, 2.4, 0.6, 76.6, NULL),  
('BR008', 'Gadung *ubi *segar', 'KZGPI-1990', 74.4, 100, 0.9, 0.3, 23.5,2.1),  
('BR009', 'Ganyong *segar', 'KZGPI-1990', 79.9, 77, 0.6, 0.2, 18.4,0.8),  
('BR010', 'Gembili *ubi *segar', 'KZGPI-1990', 66.4, 131, 1.1, 0.2, 31.3,1.1),  
('BR011', 'Hofa/Ubi hutan *segar', 'KZGMI-2001', 67.9, 127, 1.2, 0.5, 29.5,3.4),  
('BR012', 'Kaburan *ubi *segar', 'KZGPI-1990', 66.5, 133, 1.0, 0.2, 32.2,0.7),  
('BR013', 'Kentang *segar', 'KZGPI-1990', 83.4, 62, 2.1, 0.2, 13.5,0.5),  
('BR014', 'Kentang hitam *segar', 'DABM-1964', 64.0, 142, 0.9, 0.4, 33.7,5.4),  
